"Date","Sales USD"
"2018-06-05",28194.53
"2018-06-06",26723.17
"2018-06-07",27184.13
"2018-06-08",21552.49
"2018-06-09",7182.72
"2018-06-10",17035.54
"2018-06-11",16408.04
"2018-06-12",12737.77
"2018-06-13",18438.37
"2018-06-14",28906.22
"2018-06-15",17844.22
"2018-06-16",9431.27
"2018-06-17",32103.26
"2018-06-18",66313.68
"2018-06-19",63922.88
"2018-06-20",22688.58
"2018-06-21",32844.28
"2018-06-22",16481.89
"2018-06-23",23936.4
"2018-06-24",28742.6
"2018-06-25",16293.78
"2018-06-26",11535.42
"2018-06-27",17129.27
"2018-06-28",22697.63
"2018-06-29",33509.01
"2018-06-30",12681.03
"2018-07-01",2459.99
"2018-07-02",10177.35
"2018-07-03",9081.03
"2018-07-04",81884.14
"2018-07-05",4010.6
"2018-07-06",4804.64
"2018-07-07",3816.88
"2018-07-08",3027.67
"2018-07-09",8427.92
"2018-07-10",11006.87
"2018-07-11",20816.4
"2018-07-12",15821.22
"2018-07-13",20924.85
"2018-07-14",1831.84
"2018-07-15",12401.28
"2018-07-16",27866.37
"2018-07-17",14788.98
"2018-07-18",21553.17
"2018-07-19",16869.72
"2018-07-20",6624.99
"2018-07-21",7823.53
"2018-07-22",33875.91
"2018-07-23",20956.13
"2018-07-24",33044.09
"2018-07-25",17994.85
"2018-07-26",17566.24
"2018-07-27",23419.36
"2018-07-28",9589.67
"2018-07-29",5257.07
"2018-07-30",25034.52
"2018-07-31",9316.8
"2018-08-01",11018.37
"2018-08-02",6428.7
"2018-08-03",9005.2
"2018-08-04",2957.96
"2018-08-05",4264.2
"2018-08-06",5652.55
"2018-08-07",20546.38
"2018-08-08",6835.85
"2018-08-09",4022.54
"2018-08-10",6604.36
"2018-08-11",3306.09
"2018-08-12",3215.16
"2018-08-13",10753.64
"2018-08-14",7218.84
"2018-08-15",8682.42
"2018-08-16",2479.29
"2018-08-17",7053.08
"2018-08-18",15183.33
"2018-08-19",2066.59
"2018-08-20",6227.24
"2018-08-21",12450.85
"2018-08-22",2877.77
"2018-08-23",6394.45
"2018-08-24",10695.75
"2018-08-25",14175.16
"2018-08-26",3943.2
"2018-08-27",13800.7
"2018-08-28",12886.54
"2018-08-29",12713.45
"2018-08-30",8577.77
"2018-08-31",18919.16
"2018-09-01",14775.48
"2018-09-02",7894.98
"2018-09-03",24341.48
"2018-09-04",17071.93
"2018-09-05",27145.39
"2018-09-06",17431.41
"2018-09-07",15781.37
"2018-09-08",8475.09
"2018-09-09",14788.14
"2018-09-10",113042.42
"2018-09-11",21704.36
"2018-09-12",90939.78
"2018-09-13",133895.18
"2018-09-14",111473.72
"2018-09-15",71383.13
"2018-09-16",143461.96
"2018-09-17",42269.72
"2018-09-18",62463.53
"2018-09-19",91644.59
"2018-09-20",73526.02
"2018-09-21",51208.25
"2018-09-22",14917.91
"2018-09-23",155046.58
"2018-09-24",53156.22
"2018-09-25",24525.74
"2018-09-26",27233.21
"2018-09-27",32316.05
"2018-09-28",19665.73
"2018-09-29",47843.86
"2018-09-30",15731.41
"2018-10-01",40775.44
"2018-10-02",45783.85
"2018-10-03",128029.4
"2018-10-04",84857.67
"2018-10-05",68416.9
"2018-10-06",34756.03
"2018-10-07",47314.95
"2018-10-08",37255.69
"2018-10-09",48989.24
"2018-10-10",58863.3
"2018-10-11",99236.34
"2018-10-12",126371.25
"2018-10-13",101682.34
"2018-10-14",45739.88
"2018-10-15",53616.54
"2018-10-16",22494.99
"2018-10-17",57093.21
"2018-10-18",60902.55
"2018-10-19",41446.84
"2018-10-20",28387.66
"2018-10-21",21435.17
"2018-10-22",159093.29
"2018-10-23",70271.3
"2018-10-24",67422.47
"2018-10-25",26923.1
"2018-10-26",24996.39
"2018-10-27",28766.11
"2018-10-28",36767.89
"2018-10-29",40010.87
"2018-10-30",99151.52
"2018-10-31",10967.43
"2018-11-01",40081.29
"2018-11-02",56368.07
"2018-11-03",22295.14
"2018-11-04",25275.7
"2018-11-05",240196.91
"2018-11-06",65034.79
"2018-11-07",81379.02
"2018-11-08",84784.12
"2018-11-09",40045.1
"2018-11-10",33905.59
"2018-11-11",176291.17
"2018-11-12",55664.58
"2018-11-13",107371.83
"2018-11-14",99040.81
"2018-11-15",67280.42
"2018-11-16",45489.68
"2018-11-17",18225.39
"2018-11-18",29202.39
"2018-11-19",78093.7
"2018-11-20",33903.48
"2018-11-21",14450.18
"2018-11-22",24427.19
"2018-11-23",42347.07
"2018-11-24",26830.99
"2018-11-25",4129
"2018-11-26",18554.83
"2018-11-27",18789.57
"2018-11-28",7793.01
"2018-11-29",68246.37
"2018-11-30",5390.96
"2018-12-01",15855.16
"2018-12-02",31692.72
"2018-12-03",10232.45
"2018-12-04",14366.72
"2018-12-05",30538.76
"2018-12-06",15843.56
"2018-12-07",10231.07
"2018-12-08",51765.55
"2018-12-09",30085.08
"2018-12-10",15670.85
"2018-12-11",156162.88
"2018-12-12",34502.96
"2018-12-13",19913.69
"2018-12-14",22249.32
"2018-12-15",76699.82
"2018-12-16",32943.98
"2018-12-17",37067.57
"2018-12-18",45054.32
"2018-12-19",377313.33
"2018-12-20",1000304.58
"2018-12-21",2872174.65
"2018-12-22",451813.33
"2018-12-23",1344869.66
"2018-12-24",48394.61
"2018-12-25",49995.84
"2018-12-26",11005.16
"2018-12-27",12541.49
"2018-12-28",43404.77
"2018-12-29",10278.47
"2018-12-30",42456.65
"2018-12-31",43374.95
"2019-01-01",7511.62
"2019-01-02",7947.07
"2019-01-03",23421.99
"2019-01-04",30713.59
"2019-01-05",14499.94
"2019-01-06",22158.2
"2019-01-07",5892.37
"2019-01-08",33314.55
"2019-01-09",26596.38
"2019-01-10",22635.34
"2019-01-11",33454.22
"2019-01-12",45890.22
"2019-01-13",66635.68
"2019-01-14",70188.07
"2019-01-15",12052.37
"2019-01-16",38976.67
"2019-01-17",13255.51
"2019-01-18",34036.28
"2019-01-19",10436.79
"2019-01-20",40253.02
"2019-01-21",7135.43
"2019-01-22",2804.96
"2019-01-23",5849.4
"2019-01-24",2191.41
"2019-01-25",20572.28
"2019-01-26",1114.41
