"Date","Sales USD"
"2021-09-07",1989254.01
"2021-09-08",547338.96
"2021-09-09",587195.82
"2021-09-10",317278.32
"2021-09-11",160941.17
"2021-09-12",103364.15
"2021-09-13",61629.27
"2021-09-14",150961.92
"2021-09-15",75956.3
"2021-09-16",187318.76
"2021-09-17",335324.61
"2021-09-18",178923.01
"2021-09-19",496160.28
"2021-09-20",146286.69
"2021-09-21",132896.48
"2021-09-22",262499.92
"2021-09-23",106054.33
"2021-09-24",50503.31
"2021-09-25",47833.28
"2021-09-26",50519.39
"2021-09-27",69829.74
"2021-09-28",64405.41
"2021-09-29",101773.07
"2021-09-30",78216.47
"2021-10-01",143169.47
"2021-10-02",36860.5
"2021-10-03",56388.2
"2021-10-04",22630.27
"2021-10-05",47778.39
"2021-10-06",25921.29
"2021-10-07",33251.27
"2021-10-08",40944.75
"2021-10-09",29430.86
"2021-10-10",55531.39
"2021-10-11",29429.35
"2021-10-12",79762.18
"2021-10-13",127747.44
"2021-10-14",41535.7
"2021-10-15",24655.05
"2021-10-16",55323.14
"2021-10-17",32828.53
"2021-10-18",37266.89
"2021-10-19",27444
"2021-10-20",11747.81
"2021-10-21",20429.15
"2021-10-22",14218.94
"2021-10-23",15844.74
"2021-10-24",38868.63
"2021-10-25",8433.26
"2021-10-26",82595.28
"2021-10-27",7405.46
"2021-10-28",33767.04
"2021-10-29",20782.16
"2021-10-30",14067.68
"2021-10-31",31698.04
"2021-11-01",13304.44
"2021-11-02",20738.98
"2021-11-03",25500.54
"2021-11-04",25892.62
"2021-11-05",25130.98
"2021-11-06",9143.13
"2021-11-07",7053.53
"2021-11-08",11586.79
"2021-11-09",7967.62
"2021-11-10",7858.74
"2021-11-11",4451.3
"2021-11-12",6120.94
"2021-11-13",7856.93
"2021-11-14",4656.77
"2021-11-15",9181.17
"2021-11-16",6824.69
"2021-11-17",7593.94
"2021-11-18",47173.74
"2021-11-19",34512.16
"2021-11-20",11101.43
"2021-11-21",9268.95
"2021-11-22",402407.95
"2021-11-23",941442.5
"2021-11-24",46210.99
"2021-11-25",33538.77
"2021-11-26",15551.55
"2021-11-27",8796.09
"2021-11-28",8222.41
"2021-11-29",28086.75
"2021-11-30",31770.67
"2021-12-01",2169.37
"2021-12-02",4794.94
"2021-12-03",8074.22
"2021-12-04",4388.65
"2021-12-05",78746.46
"2021-12-06",3043.58
"2021-12-07",3712.28
"2021-12-08",1167.61
"2021-12-09",5004.2
"2021-12-10",3373.63
"2021-12-11",4941.54
"2021-12-12",2759.05
"2021-12-13",2157.14
"2021-12-14",1674.72
"2021-12-15",1872.55
"2021-12-16",1931.27
"2021-12-17",1898.9
"2021-12-18",5503.31
"2021-12-19",1579.49
"2021-12-20",3767.91
"2021-12-21",7384.42
"2021-12-22",3961.32
"2021-12-23",6900.91
"2021-12-24",1702.75
"2021-12-25",9278.18
"2021-12-26",5515.64
"2021-12-27",6106.94
"2021-12-28",4007.5
"2021-12-29",2717.99
"2021-12-30",2510.58
"2021-12-31",2671.35
"2022-01-01",4718.47
"2022-01-02",4584.96
"2022-01-03",7794.75
"2022-01-04",3839.61
"2022-01-05",4737.84
"2022-01-06",2892.83
"2022-01-07",2046.13
"2022-01-08",1202
"2022-01-09",5648.34
"2022-01-10",2009.16
"2022-01-11",1818.78
"2022-01-12",3078.15
"2022-01-13",768.55
"2022-01-14",2299.36
"2022-01-15",1874.07
"2022-01-16",3201.16
"2022-01-17",3477.01
"2022-01-18",4141.67
"2022-01-19",2973.67
"2022-01-20",3491.28
"2022-01-21",1338.25
"2022-01-22",899.78
"2022-01-23",8353.27
"2022-01-24",18419.33
"2022-01-25",28765.51
"2022-01-26",10932.36
"2022-01-27",16758.64
