"Date","Number of Sales (7-day)"
"2019-07-07",83
"2019-07-08",77
"2019-07-09",79
"2019-07-10",66
"2019-07-11",61
"2019-07-12",94
"2019-07-13",91
"2019-07-14",83
"2019-07-15",78
"2019-07-16",76
"2019-07-17",83
"2019-07-18",91
"2019-07-19",61
"2019-07-20",64
"2019-07-21",59
"2019-07-22",59
"2019-07-23",62
"2019-07-24",61
"2019-07-25",39
"2019-07-26",42
"2019-07-27",41
"2019-07-28",44
"2019-07-29",49
"2019-07-30",51
"2019-07-31",51
"2019-08-01",56
"2019-08-02",53
"2019-08-03",74
"2019-08-04",91
"2019-08-05",89
"2019-08-06",94
"2019-08-07",90
"2019-08-08",96
"2019-08-09",94
"2019-08-10",91
"2019-08-11",97
"2019-08-12",101
"2019-08-13",117
"2019-08-14",155
"2019-08-15",210
"2019-08-16",233
"2019-08-17",254
"2019-08-18",252
"2019-08-19",260
"2019-08-20",251
"2019-08-21",228
"2019-08-22",163
"2019-08-23",159
"2019-08-24",135
"2019-08-25",148
"2019-08-26",174
"2019-08-27",185
"2019-08-28",203
"2019-08-29",251
"2019-08-30",280
"2019-08-31",275
"2019-09-01",271
"2019-09-02",253
"2019-09-03",236
"2019-09-04",222
"2019-09-05",200
"2019-09-06",159
"2019-09-07",170
"2019-09-08",157
"2019-09-09",147
"2019-09-10",150
"2019-09-11",134
"2019-09-12",114
"2019-09-13",133
"2019-09-14",116
"2019-09-15",114
"2019-09-16",126
"2019-09-17",124
"2019-09-18",127
"2019-09-19",132
"2019-09-20",118
"2019-09-21",124
"2019-09-22",112
"2019-09-23",92
"2019-09-24",106
"2019-09-25",114
"2019-09-26",118
"2019-09-27",136
"2019-09-28",139
"2019-09-29",148
"2019-09-30",155
"2019-10-01",133
"2019-10-02",157
"2019-10-03",160
"2019-10-04",136
"2019-10-05",147
"2019-10-06",163
"2019-10-07",165
"2019-10-08",207
"2019-10-09",240
"2019-10-10",277
"2019-10-11",358
"2019-10-12",366
"2019-10-13",361
"2019-10-14",350
"2019-10-15",318
"2019-10-16",257
"2019-10-17",213
"2019-10-18",134
"2019-10-19",102
"2019-10-20",97
"2019-10-21",150
"2019-10-22",185
"2019-10-23",197
"2019-10-24",227
"2019-10-25",246
"2019-10-26",275
"2019-10-27",278
"2019-10-28",231
"2019-10-29",203
"2019-10-30",186
"2019-10-31",186
"2019-11-01",178
"2019-11-02",167
"2019-11-03",170
"2019-11-04",182
"2019-11-05",197
"2019-11-06",226
"2019-11-07",218
"2019-11-08",229
"2019-11-09",227
"2019-11-10",240
"2019-11-11",250
"2019-11-12",244
"2019-11-13",248
"2019-11-14",246
"2019-11-15",262
"2019-11-16",286
"2019-11-17",282
"2019-11-18",292
"2019-11-19",322
"2019-11-20",318
"2019-11-21",350
"2019-11-22",353
"2019-11-23",365
"2019-11-24",375
"2019-11-25",383
"2019-11-26",358
"2019-11-27",351
"2019-11-28",382
"2019-11-29",386
"2019-11-30",420
"2019-12-01",457
"2019-12-02",498
"2019-12-03",541
"2019-12-04",572
"2019-12-05",519
"2019-12-06",495
"2019-12-07",464
"2019-12-08",461
"2019-12-09",481
"2019-12-10",521
"2019-12-11",1071
"2019-12-12",1160
"2019-12-13",1256
"2019-12-14",1315
"2019-12-15",1327
"2019-12-16",1356
"2019-12-17",1403
"2019-12-18",882
"2019-12-19",908
"2019-12-20",969
"2019-12-21",990
"2019-12-22",1078
"2019-12-23",1077
"2019-12-24",1065
"2019-12-25",1066
"2019-12-26",1010
"2019-12-27",965
"2019-12-28",934
"2019-12-29",915
"2019-12-30",906
"2019-12-31",857
"2020-01-01",830
"2020-01-02",789
"2020-01-03",745
"2020-01-04",735
"2020-01-05",667
"2020-01-06",586
"2020-01-07",590
"2020-01-08",591
"2020-01-09",582
"2020-01-10",617
"2020-01-11",648
"2020-01-12",702
"2020-01-13",750
"2020-01-14",759
"2020-01-15",748
"2020-01-16",747
"2020-01-17",677
"2020-01-18",610
"2020-01-19",563
"2020-01-20",539
"2020-01-21",510
"2020-01-22",545
"2020-01-23",572
"2020-01-24",575
"2020-01-25",569
"2020-01-26",533
"2020-01-27",649
"2020-01-28",1093
"2020-01-29",1398
"2020-01-30",1537
"2020-01-31",1985
"2020-02-01",2390
"2020-02-02",4926
"2020-02-03",5386
"2020-02-04",5098
"2020-02-05",4857
"2020-02-06",4776
"2020-02-07",4421
"2020-02-08",4530
"2020-02-09",2538
"2020-02-10",2077
"2020-02-11",2261
"2020-02-12",2236
"2020-02-13",2155
"2020-02-14",2072
"2020-02-15",1609
"2020-02-16",1236
"2020-02-17",1140
"2020-02-18",931
"2020-02-19",895
"2020-02-20",912
"2020-02-21",906
"2020-02-22",887
"2020-02-23",896
"2020-02-24",944
"2020-02-25",777
"2020-02-26",769
"2020-02-27",791
"2020-02-28",790
"2020-02-29",775
"2020-03-01",663
"2020-03-02",677
"2020-03-03",776
"2020-03-04",762
"2020-03-05",732
"2020-03-06",763
"2020-03-07",814
"2020-03-08",765
"2020-03-09",683
"2020-03-10",731
"2020-03-11",846
"2020-03-12",854
"2020-03-13",848
"2020-03-14",838
"2020-03-15",848
"2020-03-16",835
"2020-03-17",728
"2020-03-18",605
"2020-03-19",592
"2020-03-20",576
"2020-03-21",605
"2020-03-22",614
"2020-03-23",624
"2020-03-24",663
"2020-03-25",677
"2020-03-26",720
"2020-03-27",726
"2020-03-28",666
"2020-03-29",690
"2020-03-30",749
"2020-03-31",718
"2020-04-01",720
"2020-04-02",736
"2020-04-03",791
"2020-04-04",833
"2020-04-05",840
"2020-04-06",857
"2020-04-07",967
"2020-04-08",1125
"2020-04-09",1216
"2020-04-10",1280
"2020-04-11",1327
"2020-04-12",1360
"2020-04-13",1432
"2020-04-14",1418
"2020-04-15",1387
"2020-04-16",1332
"2020-04-17",1306
"2020-04-18",1356
"2020-04-19",1399
"2020-04-20",1346
"2020-04-21",1357
"2020-04-22",1322
"2020-04-23",1329
"2020-04-24",1289
"2020-04-25",1253
"2020-04-26",1193
"2020-04-27",1205
"2020-04-28",1230
"2020-04-29",1211
"2020-04-30",1217
"2020-05-01",1226
"2020-05-02",1299
"2020-05-03",1384
"2020-05-04",1349
"2020-05-05",1269
"2020-05-06",1303
"2020-05-07",1304
"2020-05-08",1251
"2020-05-09",1102
"2020-05-10",977
"2020-05-11",936
"2020-05-12",892
"2020-05-13",829
"2020-05-14",803
"2020-05-15",829
"2020-05-16",839
"2020-05-17",906
"2020-05-18",927
"2020-05-19",916
"2020-05-20",895
"2020-05-21",932
"2020-05-22",922
"2020-05-23",947
"2020-05-24",917
"2020-05-25",876
"2020-05-26",843
"2020-05-27",837
"2020-05-28",726
"2020-05-29",720
"2020-05-30",648
"2020-05-31",614
"2020-06-01",611
"2020-06-02",671
"2020-06-03",688
"2020-06-04",711
