"Date","Number of Sales (7-day)"
"2021-11-27",1348
"2021-11-28",1353
"2021-11-29",1011
"2021-11-30",322
"2021-12-01",252
"2021-12-02",215
"2021-12-03",197
"2021-12-04",189
"2021-12-05",204
"2021-12-06",149
"2021-12-07",99
"2021-12-08",100
"2021-12-09",99
"2021-12-10",102
"2021-12-11",103
"2021-12-12",91
"2021-12-13",93
"2021-12-14",88
"2021-12-15",96
"2021-12-16",92
"2021-12-17",92
"2021-12-18",123
"2021-12-19",116
"2021-12-20",134
"2021-12-21",155
"2021-12-22",162
"2021-12-23",178
"2021-12-24",177
"2021-12-25",159
"2021-12-26",172
"2021-12-27",161
"2021-12-28",156
"2021-12-29",148
"2021-12-30",132
"2021-12-31",149
"2022-01-01",157
"2022-01-02",143
"2022-01-03",149
"2022-01-04",136
"2022-01-05",140
"2022-01-06",144
"2022-01-07",125
"2022-01-08",97
"2022-01-09",109
"2022-01-10",99
"2022-01-11",103
"2022-01-12",104
"2022-01-13",92
"2022-01-14",93
"2022-01-15",95
"2022-01-16",85
"2022-01-17",92
"2022-01-18",135
"2022-01-19",140
"2022-01-20",158
"2022-01-21",162
"2022-01-22",168
"2022-01-23",193
"2022-01-24",212
"2022-01-25",192
"2022-01-26",192
"2022-01-27",186
"2022-01-28",182
"2022-01-29",177
"2022-01-30",142
"2022-01-31",109
"2022-02-01",78
"2022-02-02",71
"2022-02-03",73
