"Date","Number of Sales (7-day)"
"2019-02-02",361
"2019-02-03",387
"2019-02-04",341
"2019-02-05",359
"2019-02-06",433
"2019-02-07",508
"2019-02-08",476
"2019-02-09",508
"2019-02-10",539
"2019-02-11",511
"2019-02-12",505
"2019-02-13",436
"2019-02-14",467
"2019-02-15",434
"2019-02-16",421
"2019-02-17",585
"2019-02-18",620
"2019-02-19",629
"2019-02-20",628
"2019-02-21",524
"2019-02-22",453
"2019-02-23",396
"2019-02-24",160
"2019-02-25",129
"2019-02-26",126
"2019-02-27",115
"2019-02-28",124
"2019-03-01",169
"2019-03-02",224
"2019-03-03",229
"2019-03-04",225
"2019-03-05",211
"2019-03-06",227
"2019-03-07",219
"2019-03-08",195
"2019-03-09",150
"2019-03-10",147
"2019-03-11",130
"2019-03-12",123
"2019-03-13",113
"2019-03-14",119
"2019-03-15",116
"2019-03-16",115
"2019-03-17",117
"2019-03-18",183
"2019-03-19",236
"2019-03-20",232
"2019-03-21",257
"2019-03-22",261
"2019-03-23",254
"2019-03-24",253
"2019-03-25",199
"2019-03-26",136
"2019-03-27",155
"2019-03-28",155
"2019-03-29",154
"2019-03-30",157
"2019-03-31",154
"2019-04-01",146
"2019-04-02",155
"2019-04-03",125
"2019-04-04",96
"2019-04-05",78
"2019-04-06",71
"2019-04-07",64
"2019-04-08",64
"2019-04-09",51
"2019-04-10",52
"2019-04-11",108
"2019-04-12",106
"2019-04-13",232
"2019-04-14",306
"2019-04-15",296
"2019-04-16",441
"2019-04-17",437
"2019-04-18",365
"2019-04-19",371
"2019-04-20",263
"2019-04-21",195
"2019-04-22",205
"2019-04-23",61
"2019-04-24",68
"2019-04-25",70
"2019-04-26",63
"2019-04-27",52
"2019-04-28",63
"2019-04-29",73
"2019-04-30",95
"2019-05-01",108
"2019-05-02",109
"2019-05-03",108
"2019-05-04",396
"2019-05-05",647
"2019-05-06",799
"2019-05-07",962
"2019-05-08",1126
"2019-05-09",1256
"2019-05-10",1402
"2019-05-11",1231
"2019-05-12",1104
"2019-05-13",1053
"2019-05-14",1009
"2019-05-15",1005
"2019-05-16",970
"2019-05-17",888
"2019-05-18",848
"2019-05-19",796
"2019-05-20",751
"2019-05-21",725
"2019-05-22",634
"2019-05-23",635
"2019-05-24",706
"2019-05-25",716
"2019-05-26",703
"2019-05-27",734
"2019-05-28",715
"2019-05-29",678
"2019-05-30",682
"2019-05-31",608
"2019-06-01",584
"2019-06-02",618
"2019-06-03",743
"2019-06-04",860
"2019-06-05",919
"2019-06-06",926
"2019-06-07",937
"2019-06-08",968
"2019-06-09",990
"2019-06-10",807
"2019-06-11",672
"2019-06-12",643
"2019-06-13",640
"2019-06-14",705
"2019-06-15",733
"2019-06-16",752
"2019-06-17",750
"2019-06-18",759
"2019-06-19",856
"2019-06-20",844
"2019-06-21",804
"2019-06-22",742
"2019-06-23",680
"2019-06-24",723
"2019-06-25",681
"2019-06-26",537
"2019-06-27",482
"2019-06-28",424
"2019-06-29",423
"2019-06-30",383
"2019-07-01",381
"2019-07-02",341
"2019-07-03",352
"2019-07-04",339
"2019-07-05",324
"2019-07-06",407
"2019-07-07",439
"2019-07-08",435
"2019-07-09",487
"2019-07-10",477
"2019-07-11",489
"2019-07-12",511
"2019-07-13",409
"2019-07-14",421
"2019-07-15",388
"2019-07-16",389
"2019-07-17",397
"2019-07-18",469
"2019-07-19",460
"2019-07-20",459
"2019-07-21",569
"2019-07-22",567
"2019-07-23",611
"2019-07-24",624
"2019-07-25",542
"2019-07-26",577
"2019-07-27",722
"2019-07-28",595
"2019-07-29",571
"2019-07-30",486
"2019-07-31",462
"2019-08-01",460
"2019-08-02",399
"2019-08-03",212
"2019-08-04",147
"2019-08-05",143
"2019-08-06",149
"2019-08-07",155
"2019-08-08",141
"2019-08-09",150
"2019-08-10",181
"2019-08-11",197
"2019-08-12",220
"2019-08-13",261
"2019-08-14",268
"2019-08-15",284
"2019-08-16",316
"2019-08-17",315
"2019-08-18",301
"2019-08-19",291
"2019-08-20",256
"2019-08-21",235
"2019-08-22",240
"2019-08-23",267
"2019-08-24",267
"2019-08-25",290
"2019-08-26",491
"2019-08-27",546
"2019-08-28",643
"2019-08-29",680
"2019-08-30",618
"2019-08-31",733
"2019-09-01",741
"2019-09-02",589
"2019-09-03",532
"2019-09-04",474
"2019-09-05",438
"2019-09-06",452
"2019-09-07",314
"2019-09-08",304
"2019-09-09",252
"2019-09-10",270
"2019-09-11",220
"2019-09-12",211
"2019-09-13",218
"2019-09-14",279
"2019-09-15",309
"2019-09-16",324
"2019-09-17",298
"2019-09-18",310
"2019-09-19",304
"2019-09-20",318
"2019-09-21",260
"2019-09-22",214
"2019-09-23",203
"2019-09-24",223
"2019-09-25",214
"2019-09-26",247
"2019-09-27",223
"2019-09-28",224
"2019-09-29",856
"2019-09-30",991
"2019-10-01",1324
"2019-10-02",1473
"2019-10-03",1581
"2019-10-04",1654
"2019-10-05",1720
"2019-10-06",1188
"2019-10-07",1130
"2019-10-08",845
"2019-10-09",1787
"2019-10-10",1740
"2019-10-11",1706
"2019-10-12",1717
"2019-10-13",1676
"2019-10-14",1627
"2019-10-15",2407
"2019-10-16",2283
"2019-10-17",3207
"2019-10-18",4278
"2019-10-19",5382
"2019-10-20",5873
"2019-10-21",6411
"2019-10-22",5833
"2019-10-23",5138
"2019-10-24",4340
"2019-10-25",3479
"2019-10-26",2498
"2019-10-27",2125
"2019-10-28",1754
"2019-10-29",1635
"2019-10-30",1493
"2019-10-31",1373
"2019-11-01",1225
"2019-11-02",1112
"2019-11-03",1058
"2019-11-04",942
"2019-11-05",879
